id	filename	md5	size	state
0005d6d2-8e72-4823-88e1-1745b81f5cd7	0005d6d2-8e72-4823-88e1-1745b81f5cd7/unc.edu.c11e3246-c33d-47ef-b4b4-be287b92d91e.1111912.rsem.genes.results	2c45c096a0b4a0d53b0a8858d91d34fc	1505096	validated
0027e4db-23cb-4710-955c-22d6902036fa	0027e4db-23cb-4710-955c-22d6902036fa/unc.edu.1dac1d16-2bc6-44db-b05a-30e8f2fb703f.2511971.rsem.genes.results	307ab8ec1a2c315a721b34521b6ed749	1514450	validated
00e8a85e-5105-4068-a5e3-4f599ca5460f	00e8a85e-5105-4068-a5e3-4f599ca5460f/unc.edu.80b2573f-d8e0-4d0d-84a6-301c5103267d.1469187.rsem.genes.results	c913defb923ba7b939fa76d910c4d240	1532435	validated
0163bdc2-145c-49df-8d01-cd8fb015f40c	0163bdc2-145c-49df-8d01-cd8fb015f40c/unc.edu.a66ddf41-6af9-47c0-952b-688aac83c8c8.2097226.rsem.genes.results	34d57b76fbc7a0c32f75f59824cc2239	1514133	validated
01a64cfb-580e-4a33-b3ac-02e90d64f39c	01a64cfb-580e-4a33-b3ac-02e90d64f39c/unc.edu.f68894de-6db1-472b-bbda-f1c6e60a818b.1927231.rsem.genes.results	795457b718eb76cabf356d0ac0c6b192	1501538	validated
01d37b8d-1300-4189-b622-15670519b452	01d37b8d-1300-4189-b622-15670519b452/unc.edu.c808f209-8527-4105-819b-610508d9d3b3.1179317.rsem.genes.results	68e1ee96a06d8be51ad4500080e6c7f8	1490775	validated
02135606-788a-4ff1-bbcd-9d44717c1a1e	02135606-788a-4ff1-bbcd-9d44717c1a1e/unc.edu.fac8f7fd-3e80-410a-a281-2b564862b335.1227007.rsem.genes.results	2e36c112e8fd1b65106e5fd1fc8897e9	1507278	validated
02159231-04e7-4f99-8a41-7d5fcb9cd746	02159231-04e7-4f99-8a41-7d5fcb9cd746/unc.edu.5ee80128-f80f-4892-9668-43c03c41bd65.1966820.rsem.genes.results	5cec222246a0d70d5c3e29296e12f5df	1507191	validated
02691fc7-a403-47d0-a68e-122544af8ace	02691fc7-a403-47d0-a68e-122544af8ace/unc.edu.a5a9f82f-f3f4-47dc-9dcd-6b65c1c73a37.2512551.rsem.genes.results	eb87198b1454d511ef897dd5b7cefafc	1512106	validated
02b35e14-639a-4464-a75c-ea4400b0c392	02b35e14-639a-4464-a75c-ea4400b0c392/unc.edu.fe6853dd-864f-4257-869f-a425aab32346.2256084.rsem.genes.results	2918766c73d58cad4e11c962b4d7119f	1516205	validated
02da9452-075d-4a1f-bc4e-cd5628d28993	02da9452-075d-4a1f-bc4e-cd5628d28993/unc.edu.eb5b988d-308e-4afb-b21b-8bdd45010c72.1225686.rsem.genes.results	d0446a2051c273caaa8ad02116d0b0c9	1509838	validated
03fdd4e0-2e3a-4884-ad11-b78346c612be	03fdd4e0-2e3a-4884-ad11-b78346c612be/unc.edu.b1af0c13-8e8b-456f-9e4c-c8c22d8ac37f.2640778.rsem.genes.results	26eec08f41bd8ad7740047f433f99607	1495140	validated
0421d878-e51c-4a14-8490-df3e56858559	0421d878-e51c-4a14-8490-df3e56858559/unc.edu.9e523e29-ea79-4124-97b4-d9c8686b3ddc.2647061.rsem.genes.results	c8175652cf0965da4fe672a1f1e417c6	1492344	validated
043d9305-31f6-4edc-8362-fe4083e4cb69	043d9305-31f6-4edc-8362-fe4083e4cb69/unc.edu.c8d6dc3d-024b-4b68-9395-c3c2c38e8bb2.2469583.rsem.genes.results	422ca5c7cf9f1f5023e5261a3184542a	1504151	validated
